Label,Lngx,Laty,Continent,ID
Maastricht Netherlands,5.69,50.85,Europe,Maastricht Netherlands
Opole Poland,17.94,50.68,Europe,Opole Poland
Islamabad Pakistan,73.06,33.72,Asia,Islamabad Pakistan
Copenhagen Denmark,12.57,55.68,Europe,Copenhagen Denmark
Nanyang China,112.53,33,Asia,Nanyang China
Dongying China,118.52,37.5,Asia,Dongying China
Antwerp Belgium,4.42,51.22,Europe,Antwerp Belgium
Zahedan Iran,60.83,29.5,Asia,Zahedan Iran
Oxford UK,-1.26,51.76,Europe,Oxford UK
Chak Pakistan,68.83,27.87,Asia,Chak Pakistan
Okayama Japan,133.92,34.67,Asia,Okayama Japan
Gebze Turkey,29.44,40.81,Asia,Gebze Turkey
Zigong China,104.78,29.4,Asia,Zigong China
Venice Italy,12.33,45.43,Europe,Venice Italy
Alameda USA,-122.26,37.77,Americas,Alameda USA
Hayward USA,-122.1,37.63,Americas,Hayward USA
Salisbury UK,-1.8,51.08,Europe,Salisbury UK
Chester UK,-2.92,53.2,Europe,Chester UK
Astana Kazakhstan,71.47,51.17,Asia,Astana Kazakhstan
Tumkur India,77.1,13.34,Asia,Tumkur India
Shiraz Iran,52.57,29.63,Asia,Shiraz Iran
Montreal Canada,-73.57,45.52,Americas,Montreal Canada
Sherbrooke Canada,-71.9,45.4,Americas,Sherbrooke Canada
Enschede Netherlands,6.89,52.22,Europe,Enschede Netherlands
Wiesbaden Germany,8.23,50.08,Europe,Wiesbaden Germany
Toowoomba Australia,151.96,-27.56,Oceania,Toowoomba Australia
Rabat Morocco,-6.84,34.02,Africa,Rabat Morocco
Kingston Canada,-76.5,44.23,Americas,Kingston Canada
Capua Italy,14.2,41.13,Europe,Capua Italy
Bari Italy,16.87,41.12,Europe,Bari Italy
Fuzhou China,119.3,26.08,Asia,Fuzhou China
Bourges France,2.39,47.08,Europe,Bourges France
Lakeland USA,-81.96,28.04,Americas,Lakeland USA
Yurga Russia,84.89,55.72,Europe,Yurga Russia
Fontainebleau France,2.7,48.42,Europe,Fontainebleau France
Parma Italy,10.32,44.81,Europe,Parma Italy
Vicenza Italy,11.54,45.55,Europe,Vicenza Italy
Cartagena Colombia,-75.5,10.4,Americas,Cartagena Colombia
Barranquilla Colombia,-74.8,10.96,Americas,Barranquilla Colombia
Ulm Germany,9.97,48.4,Europe,Ulm Germany
Qufu China,116.97,35.6,Asia,Qufu China
Semnan Iran,53.38,35.55,Asia,Semnan Iran
Skaerbaek Denmark,8.77,55.15,Europe,Skaerbaek Denmark
Fredericia Denmark,9.76,55.58,Europe,Fredericia Denmark
Kalundborg Denmark,11.1,55.68,Europe,Kalundborg Denmark
Troy USA,-73.68,42.73,Americas,Troy USA
Vandoeuvre-les-Nancy France,6.17,48.65,Europe,Vandoeuvre-les-Nancy France
Memphis USA,-90.01,35.11,Americas,Memphis USA
Huangpu China,113.42,23.1,Asia,Huangpu China
Baltimore USA,-76.61,39.3,Americas,Baltimore USA
Kelowna Canada,-119.46,49.89,Americas,Kelowna Canada
Penticton Canada,-119.59,49.5,Americas,Penticton Canada
Qinhuangdao China,119.62,39.93,Asia,Qinhuangdao China
Ibadan Nigeria,3.93,7.38,Africa,Ibadan Nigeria
Torun Poland,18.61,53.02,Europe,Torun Poland
Gif-sur-Yvette France,2.13,48.68,Europe,Gif-sur-Yvette France
Trieste Italy,13.77,45.65,Europe,Trieste Italy
Real Portugal,-8.16,41.63,Europe,Real Portugal
Cologne Germany,6.97,50.95,Europe,Cologne Germany
Erechim Brazil,-52.27,-27.63,Americas,Erechim Brazil
Kyotanabe Japan,135.77,34.82,Asia,Kyotanabe Japan
Taoyuan Taiwan,121.31,25,Asia,Taoyuan Taiwan
Yichang China,111.28,30.7,Asia,Yichang China
Bhimavaram India,81.53,16.55,Asia,Bhimavaram India
Alhambra USA,-118.13,34.08,Americas,Alhambra USA
Reno USA,-119.82,39.54,Americas,Reno USA
Glendale USA,-118.25,34.18,Americas,Glendale USA
Ibaraki Japan,135.57,34.81,Asia,Ibaraki Japan
Xinxiang China,113.87,35.32,Asia,Xinxiang China
Guiyang China,106.72,26.58,Asia,Guiyang China
Maanshan China,118.48,31.73,Asia,Maanshan China
Hitachi Japan,140.66,36.59,Asia,Hitachi Japan
Potsdam Germany,13.07,52.4,Europe,Potsdam Germany
Warwick USA,-71.42,41.7,Americas,Warwick USA
Erlangen Germany,11.01,49.6,Europe,Erlangen Germany
Msida Malta,14.48,35.9,Europe,Msida Malta
Kaifeng China,114.35,34.85,Asia,Kaifeng China
Darwin Australia,130.85,-12.43,Oceania,Darwin Australia
Tempe USA,-111.93,33.39,Americas,Tempe USA
